URL,OLD_META_DESCRIPTION,OLD_LENGTH,NEW_META_DESCRIPTION,NEW_LENGTH,SOURCE_CHANGED,STATUS
https://bulgaritam.bg/k/bijuta/,Български бижута: сравни размера и закопчаването в информацията от бранда.,74,"Български бижута: сравни размера и закопчаването в информацията от бранда. Съпостави изработката, размерите и важните детайли. Провери ги при бранда.",149,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/rachno-izraboteni/,Открий ръчно изработени български продукти и подаръци в Българитъм.,67,"Открий ръчно изработени български продукти и подаръци в Българитъм. Ориентирай се по интереси, възраст и конкретен повод. Условията са при бранда.",146,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/,"Открий идеи за подарък от български брандове за жена, мъж, дете, бебе и специални поводи.",89,"Открий идеи за подарък от български брандове за жена, мъж, дете, бебе и специални поводи. Подреди избора според човека, повода и вида подарък.",142,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/kozmetika/,"Открий българска козметика за лице, тяло и коса от локални марки в Българитъм.",78,"Открий българска козметика за лице, тяло и коса от локални марки в Българитъм. Съпостави формулите според нуждата и своята рутина. Провери ги при бранда.",153,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/kozmetika-lice/,Българска козметика за лице: ориентирай се според грижа за лицето.,66,"Българска козметика за лице: ориентирай се според грижа за лицето. Ориентирай се по нужда, формула и начин на използване. Данните са от бранда.",143,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/damsko-obleklo/,"Разгледай български дамски дрехи от локални марки – рокли, спортни екипи, пижами и други модели.",96,"Разгледай български дамски дрехи от локални марки – рокли, спортни екипи, пижами и други модели. Сравни моделите по материя, кройка, размер и",141,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/rachno-izraboteni-bizhuta/,Разгледай български ръчно изработени бижута от автори и малки марки в Българитъм.,81,"Разгледай български ръчно изработени бижута от автори и малки марки в Българитъм. Провери материала, размерите и начина на закопчаване.",135,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/za-mazh/,Открий подарък за мъж от български брандове в Българитъм.,57,"Открий подарък за мъж от български брандове в Българитъм. Ориентирай се по интереси, възраст и конкретен повод. Условията са при бранда.",136,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-damski-sportni-ekipi/,Български дамски спортни екипи: сравни кройката и размерите в предложенията от български брандове.,98,"Български дамски спортни екипи: сравни кройката и размерите в предложенията от български брандове. Съпостави кройките, материите и начина на носене.",148,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/za-bebe/,Открий подарък за бебе от български брандове в Българитъм.,58,Открий подарък за бебе от български брандове в Българитъм. Прецени вариантите според повода и предпочитанията. Провери ги при бранда.,133,src/components/SeoProductLanding.astro,IMPROVED_BELOW_135
https://bulgaritam.bg/k/mazhko-obleklo/,"Разгледай български мъжки дрехи от локални марки – анцузи, пуловери, якета, пижами и други модели.",98,"Разгледай български мъжки дрехи от локални марки – анцузи, пуловери, якета, пижами и други модели. Съпостави кройките, материите и начина на носене.",148,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/za-zhena/,Открий подарък за жена от български брандове в Българитъм.,58,Открий подарък за жена от български брандове в Българитъм. Прецени вариантите според повода и предпочитанията. Провери ги при бранда.,133,src/components/SeoProductLanding.astro,IMPROVED_BELOW_135
https://bulgaritam.bg/bulgarski-podaratsi/za-dete/,Открий подарък за дете от български брандове в Българитъм.,58,Открий подарък за дете от български брандове в Българитъм. Прецени вариантите според повода и предпочитанията. Провери ги при бранда.,133,src/components/SeoProductLanding.astro,IMPROVED_BELOW_135
https://bulgaritam.bg/k/chanti/,Открий чанти в аксесоари от български марки в Българитъм. Подбрани продукти и по-лесно откриване.,97,Открий чанти в аксесоари от български марки в Българитъм. Подбрани продукти и по-лесно откриване. Съпостави вариантите според нуждата и употребата.,147,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bizhuta-po-porachka/,Открий бижута по поръчка от български автори.,45,"Открий бижута по поръчка от български автори. Съпостави изработката, размерите и важните детайли. Провери ги при бранда.",120,src/components/SeoProductLanding.astro,IMPROVED_BELOW_135
https://bulgaritam.bg/pamuchni-rokli/,"Памучни рокли: сравни състава, кройката и размерите в предложенията от български брандове.",90,"Памучни рокли: сравни състава, кройката и размерите в предложенията от български брандове. Ориентирай се по състав, силует и таблица с размери.",143,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bizhuta-s-perli/,"Бижута с перли: сравни камъка перла, размера и закопчаването в информацията от бранда.",86,"Бижута с перли: сравни камъка перла, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.",139,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/rachno-izraboteni-grivni/,Открий ръчно изработени гривни от български марки и автори.,59,"Открий ръчно изработени гривни от български марки и автори. Провери материала, размерите и начина на закопчаване. Данните са от бранда.",135,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/mazhki-bizhuta/,Мъжки бижута: сравни размера и закопчаването в информацията от бранда.,70,"Мъжки бижута: сравни размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер. Виж данните от бранда.",146,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-drehi/pizhami/,Открий български пижами и нощни сетове от локални марки.,56,"Открий български пижами и нощни сетове от локални марки. Сравни моделите по материя, кройка, размер и предназначение. Детайлите са при бранда.",142,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/pozlateni-bizhuta/,Разгледай български позлатени бижута от локални марки и автори и сравни наличните модели.,89,"Разгледай български позлатени бижута от локални марки и автори и сравни наличните модели. Сравни моделите по материал, размер, детайли и закопчаване.",149,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-damski-pizhami/,Разгледай български дамски пижами и домашни комплекти от локални марки в Българитъм.,84,"Разгледай български дамски пижами и домашни комплекти от локални марки в Българитъм. Съпостави кройките, материите и начина на носене. Провери ги при",149,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/beli-rokli/,"Бели рокли: сравни нюанса, кройката и размерите в предложенията от български брандове.",86,"Бели рокли: сравни нюанса, кройката и размерите в предложенията от български брандове. Сравни моделите по материя, кройка, размер и предназначение.",147,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/obetsi-ot-srebro/,"Обеци от сребро: сравни обеци, материала сребро, размера и закопчаването в информацията от бранда.",98,"Обеци от сребро: сравни обеци, материала сребро, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.",151,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-drehi/rokli/,Български рокли: сравни кройката и размерите в предложенията от български брандове.,83,"Български рокли: сравни кройката и размерите в предложенията от български брандове. Съпостави кройките, материите и начина на носене. Провери ги при",148,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/svatben-album-rachna-izrabotka/,Открий сватбен албум ръчна изработка от български автори.,57,"Открий сватбен албум ръчна изработка от български автори. Ориентирай се по функция, изработка и приложението им. Данните са от бранда.",134,src/components/SeoProductLanding.astro,IMPROVED_BELOW_135
https://bulgaritam.bg/k/za-glava/,Разгледай български аксесоари за коса от локални марки и открий наличните модели в Българитъм.,94,Разгледай български аксесоари за коса от локални марки и открий наличните модели в Българитъм. Съпостави вариантите според нуждата и употребата.,144,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/kolani/,Разгледай български колани от локални марки и открий наличните модели на едно място.,84,"Разгледай български колани от локални марки и открий наличните модели на едно място. Провери материалите, особеностите и начина на използване.",142,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/kozmetika-tyalo/,"Разгледай българска козметика за тяло от локални марки – сапуни, душ гелове, кремове и масла.",93,"Разгледай българска козметика за тяло от локални марки – сапуни, душ гелове, кремове и масла. Ориентирай се по нужда, формула и начин на използване.",148,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/rachno-izraboteni-obetsi/,Открий ръчно изработени обеци от български автори.,50,"Открий ръчно изработени обеци от български автори. Сравни моделите по материал, размер, детайли и закопчаване. Детайлите са при бранда.",135,src/components/SeoProductLanding.astro,FIXED
