URL,PAGE TYPE,OLD DESCRIPTION LENGTH,NEW DESCRIPTION LENGTH,SOURCE CHANGED,STATUS
https://bulgaritam.bg/k/bijuta/,TAXONOMY LANDING,74,149,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/rachno-izraboteni/,SEO LANDING,67,146,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/,GIFT LANDING,89,142,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/kozmetika/,TAXONOMY LANDING,78,153,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/kozmetika-lice/,TAXONOMY LANDING,66,143,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/k/damsko-obleklo/,TAXONOMY LANDING,96,141,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/rachno-izraboteni-bizhuta/,SEO LANDING,81,135,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/za-mazh/,GIFT LANDING,57,136,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-damski-sportni-ekipi/,SEO LANDING,98,148,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/za-bebe/,GIFT LANDING,58,133,src/components/SeoProductLanding.astro,"IMPROVED (quality-first, below 135)"
https://bulgaritam.bg/k/mazhko-obleklo/,TAXONOMY LANDING,98,148,src/components/SeoProductLanding.astro,FIXED
https://bulgaritam.bg/bulgarski-podaratsi/za-zhena/,GIFT LANDING,58,133,src/components/SeoProductLanding.astro,"IMPROVED (quality-first, below 135)"
https://bulgaritam.bg/bulgarski-podaratsi/za-dete/,GIFT LANDING,58,133,src/components/SeoProductLanding.astro,"IMPROVED (quality-first, below 135)"
https://bulgaritam.bg/k/chanti/,TAXONOMY LANDING,97,147,src/components/SeoProductLanding.astro,FIXED
