URL,PAGE_TYPE,PRODUCT_COUNT,PRODUCT_COUNT_GROUP,INCOMING_HTML_PAGES,INCOMING_SOURCE_URLS,PARENT_URL,CATEGORY_URL,REACHABLE_FROM_HOME,IN_SITEMAP,INDEXABILITY,RECOMMENDED_INTERNAL_LINK_SOURCES,PRIORITY,TITLE,GENERATED_BY
/20-godishnina-ot-svatba-podarak/,intent_landing,0,0,0,,/bulgarski-podaratsi/,/bulgarski-podaratsi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Подарък за 20 години от сватбата | Българитъм,src/pages/[...slug].astro or dedicated route
/balgarski-maratonki/,intent_landing,0,0,0,,/bulgarski-drehi/obuvki/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Български маратонки – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/balgarsko-damsko-belo-pamuk/,intent_landing,0,0,0,,/k/belio/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Българско дамско бельо от памук – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/balni-rokli/,intent_landing,0,0,0,,/k/damsko-obleklo/,/bulgarski-drehi/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бални рокли – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-ot-kehlibar/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с кехлибар – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-po-porachka/,intent_landing,0,0,26,/p/damsko-kolie-ot-koprina-i-med/; /p/golemi-obeci-balerina-ramonna/; /p/golemi-obeci-s-cvetya-amalfi/; /p/grivna-pearls/; /p/kabala-obetsi-halki-sheva-brachot/; /p/kabala-obetsi-s-kultivirani-beli-perli/; /p/kabbalah-obetsi-ot-srebro/; /p/kabbalah-obetsi-srebro-s-tsirkoni/; /p/kaso-srebarno-kolie-s-perla/; /p/kolie-pearls/; /p/kolie-rose-aura/; /p/mazhka-grivna-ot-med-spokoystvie-1-5-sm/; /p/mazhka-grivna-ot-med-tiha-sila/; /p/obeci-dobrudzhanski-region/; /p/obeci-peperudi-on-a-date/; /p/obeci-sofiyski-region/; /p/oksidirani-srebarni-obetsi-krila-na-angel/; /p/pearls-cascade-trireden-gerdan-ot-perli/; /p/srebaren-medalion-vechna-pregrydka/; /p/srebarna-tvarda-grivna-melted/; /p/srebarni-obeci-s-krag-i-visiasht-element/; /p/srebarni-obeci-tiara/; /p/srebarno-kolie-shisharka/; /p/srebarno-kolie-zhalad/; /p/tanka-zlatna-verizhka-14-karata/; /p/zlaten-medalion-nova/,/k/bijuta/,/k/aksesoari/,YES,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута по поръчка | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-cheren-turmalin/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с черен турмалин – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-diamanti/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с диаманти – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-izumrud/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с изумруд – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
/bizhuta-s-labradorit/,intent_landing,0,0,0,,/k/bijuta/,/k/aksesoari/,NO,YES,INDEX,Keep in sitemap; add products manually; do not promote prominently until content exists,MONITOR,Бижута с лабрадорит – материал и детайли | Българитъм,src/pages/[...slug].astro or dedicated route
