brand_name,brand_slug,brand_url,logo_url,instagram_url,facebook_url,physical_address,physical_address_type,physical_address_status,brand_source_status,brand_enrichment_notes
160 candles,160-candles,https://www.160candles.com,https://www.160candles.com/assets/site/images/logo.svg,https://www.instagram.com/160candles,https://www.facebook.com/160candles,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
2 Лета,2-leta,https://2leta.com/,,,,,Неуточнен,NOT_FOUND,PARTIAL,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Addict Boutique,addict-boutique,https://addict-boutique.com/,https://addict-boutique.com/wp-content/uploads/2025/02/addict-logo-2020-1-1-1-1.png,https://www.instagram.com/addict_boutique_fashion/,https://www.facebook.com/addict.boutique.bg/,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
AFFECT,affect,https://affectbg.com/,https://affectbg.com/cdn/shop/files/logo-white.png?v=1764237055&width=108,https://www.instagram.com/affectsleepwear,https://www.facebook.com/AffectLTD,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Alleexxa,alleexxa,https://alleexxa.com,https://alleexxa.com/wp-content/themes/sfc/assets/images/logo.svg,https://www.instagram.com/alleexxa.harness,https://www.facebook.com/ALLEEXXA.Harness,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Alteya Organics,alteya-organics,https://alteyaorganics.bg,https://alteyaorganics.bg/cdn/shop/files/Alteya_Organics_NEW_Logo_with_circle_PNG.png?v=1704267992&width=595,https://www.instagram.com/alteyaorganics_bg/,https://www.facebook.com/AlteyaOrganicsBulgaria,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Amalina,amalina,https://amalina.eu/,https://amalina.eu/wp-content/uploads/2020/05/amalina.jpg,https://www.instagram.com/amalinagentlecare/,https://www.facebook.com/amalina.eu,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
AMIRA PERFUMES,amira-perfumes,https://amiraperfumes.com,https://amiraperfumes.com/cdn/shop/files/PERFUMES_full_pixel_1.png?v=1758544644&width=600,,,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Armodini,armodini,https://www.armodini.bg/,https://www.armodini.bg/cdn/shop/files/armodini_logo.png?v=1749037037&width=600,https://www.instagram.com/armodinibg/,https://www.facebook.com/armodinibg,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Art of Melting,art-of-melting,https://artofmelting.com,,,,,Неуточнен,NOT_FOUND,REVIEW,Official-site homepage status: PAGE_FAILED. Logo/social/address values are included only when found on pages under the official brand site.
Art Tochka,art-tochka,https://www.art-tochka.com/,https://www.art-tochka.com/frontend/images/logo-art-tochka.svg,,https://www.facebook.com/art.to4ka,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
AuraBaby,aurababy,https://aurababy.bg,https://aurababy.bg/cdn/shop/files/Logo__AURA_BABY-Main_logo_brown.png?v=1784363763&width=1200,https://www.instagram.com/aurababy.bg,https://www.facebook.com/profile.php?id=61592521630904,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
Aurora,aurora,https://www.aurorasleepwear.bg/bg,https://www.aurorasleepwear.bg/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Fdjaibul71%2Fimage%2Fupload%2Fv1777659288%2Flogo_gd8zq8.png&w=256&q=75,https://instagram.com/aurorasleepwearbg,,,Неуточнен,NOT_FOUND,VERIFIED_OFFICIAL_SITE,Official-site homepage status: LIVE_PAGE. Logo/social/address values are included only when found on pages under the official brand site.
