name_bg,brand_name,slug,category,tags,price_min_eur,price_max_eur,currency,short_desc_bg,long_desc_bg,product_url,brand_url,image_urls,is_active,created_at,brand_slug,meta_title_bg,meta_desc_bg,intro_bg,rating,address,brand_ref,subcategory,product_type,giftable,recipient,gift_occasion,attributes,colors,materials,audience,recipient_age,recipient_gender,role_interest,wedding_anniversary_type,gemstone,jewelry_detail,clothing_style,sleeve,season,ingredient,skin_type,skin_need,hair_need,logo_url,instagram_url,facebook_url,physical_address_type
Гривна с кожа и сребърни елементи №2,DP Silver,grivna-s-kozha-i-srebarni-elementi-2,Аксесоари,,,,EUR,"Гривна с кожа и сребърни елементи №2 от DP Silver. Материали, посочени от бранда: Естествена кожа.",,https://dp-silver.com/product/gk2,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/113/grivna-s-koza-i-srebarni-elementi-no2-65439a61b4da7.jpeg?width=1920&height=1920&v=1777601736,https://dp-silver.com/cdn/img/products/113/grivna-s-koza-i-srebarni-elementi-no2-65439a61b4da7.jpeg?width=600&height=600&v=1777601736",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,Естествена кожа,,,,,,,,,,,,,,,,,,
Нежна гривна Камъче №151,DP Silver,nezhna-grivna-kamache-151,Аксесоари,,,,EUR,Нежна гривна Камъче №151 от DP Silver.,,https://dp-silver.com/product/g151,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/287/g151-image_617a805800d89.jpeg?width=1920&height=1920&v=1777601721,https://dp-silver.com/cdn/img/products/287/g151-image_617a805800d89.jpeg?width=600&height=600&v=1777601721",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,Син,,,,,,,,,,,,,,,,,,,
Гривна за глезен Камъче,DP Silver,grivna-za-glezen-kamache,Аксесоари,,,,EUR,Гривна за глезен Камъче от DP Silver.,,https://dp-silver.com/product/grivna-za-glezen-kamache,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1208/grivna-za-glezen-kamace-62c6a5483a81c.jpeg?width=1920&height=1920&v=1777601722,https://dp-silver.com/cdn/img/products/1208/grivna-za-glezen-kamace-62c6a5483a81c.jpeg?width=600&height=600&v=1777601722",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,,,,,,,,,,,,,,,,,,,
Гривна за глезен Инфинити,DP Silver,grivna-za-glezen-infiniti,Аксесоари,,,,EUR,Гривна за глезен Инфинити от DP Silver.,,https://dp-silver.com/product/grivna-za-glezen-infiniti,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1209/grivna-za-glezen-infiniti-62c80d86dd625.jpeg?width=1920&height=1920&v=1777601730,https://dp-silver.com/cdn/img/products/1209/grivna-za-glezen-infiniti-62c80d86dd625.jpeg?width=600&height=600&v=1777601730",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,,,,,,,,,,,,,,,,,,,
Гривна с конец и закопчалка Кръст,DP Silver,grivna-s-konets-i-zakopchalka-krast,Аксесоари,,,,EUR,Гривна с конец и закопчалка Кръст от DP Silver.,,https://dp-silver.com/product/gch1-4,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1024/grivna-s-konec-i-zakopcalka-krast-image_615d6350dcb64.jpeg?width=1920&height=1920&v=1777601732,https://dp-silver.com/cdn/img/products/1024/grivna-s-konec-i-zakopcalka-krast-image_615d6350dcb64.jpeg?width=600&height=600&v=1777601732",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,,,,,,,,Кръст,,,,,,,,,,,
Твърда тънка гривна №15,DP Silver,tvarda-tanka-grivna-15,Аксесоари,,,,EUR,Твърда тънка гривна №15 от DP Silver.,,https://dp-silver.com/product/tvarda-tanka-grivna,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1248/tvarda-tanka-grivna-632b0286a1c63.jpeg?width=1920&height=1920&v=1777601727,https://dp-silver.com/cdn/img/products/1248/tvarda-tanka-grivna-632b0286a1c63.jpeg?width=600&height=600&v=1777601727",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,,,,,,,,,,,,,,,,,,,
Мъжка гривна с издължени елементи №170,DP Silver,mazhka-grivna-s-izdalzheni-elementi-170,Аксесоари,,,,EUR,Мъжка гривна с издължени елементи №170 от DP Silver.,,https://dp-silver.com/product/majka-grivna-s-izdaljeni-elementi,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1240/mazka-grivna-s-izdalzeni-elementi-63062c1c07841.jpeg?width=1920&height=1920&v=1777601743,https://dp-silver.com/cdn/img/products/1240/mazka-grivna-s-izdalzeni-elementi-63062c1c07841.jpeg?width=600&height=600&v=1777601743",TRUE,,dp-silver,,,,,,,Мъжки бижута,Гривни,false,,,,,,Мъже,,,,,,,,,,,,,,,,,
Гривна с буква А,DP Silver,grivna-s-bukva-a,Аксесоари,,,,EUR,"Гривна с буква А от DP Silver. Материали, посочени от бранда: Сребро.",,https://dp-silver.com/product/grivna-s-bukva-a,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1471/grivna-s-bukva-a-69e1f86ecdf41.jpeg?width=1920&height=1920&v=1777601744,https://dp-silver.com/cdn/img/products/1471/grivna-s-bukva-a-69e1f86ecdf41.jpeg?width=600&height=600&v=1777601744",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,Сребро,,,,,,,Буква,,,,,,,,,,,
Гривна с буква Б,DP Silver,grivna-s-bukva-b,Аксесоари,,,,EUR,"Гривна с буква Б от DP Silver. Материали, посочени от бранда: Сребро.",,https://dp-silver.com/product/grivna-s-bukva-b,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/1474/grivna-s-bukva-b-69e1fb8408f5e.jpeg?width=1920&height=1920&v=1777601735,https://dp-silver.com/cdn/img/products/1474/grivna-s-bukva-b-69e1fb8408f5e.jpeg?width=600&height=600&v=1777601735",TRUE,,dp-silver,,,,,,,Бижута,Гривни,false,,,,,Сребро,,,,,,,Буква,,,,,,,,,,,
Колие с вълнообразни елементи и камъни №104,DP Silver,kolie-s-valnoobrazni-elementi-i-kamani-104,Аксесоари,,,,EUR,"Колие с вълнообразни елементи и камъни №104 от DP Silver. Материали, посочени от бранда: Сребро.",,https://dp-silver.com/product/l104,https://dp-silver.com,"https://dp-silver.com/cdn/img/products/105/kolie-s-valnoobrazni-elementi-i-kamani-no104-65410a3c5418a.jpeg?width=1920&height=1920&v=1777601733,https://dp-silver.com/cdn/img/products/105/kolie-s-valnoobrazni-elementi-i-kamani-no104-65410a3c5418a.jpeg?width=600&height=600&v=1777601733",TRUE,,dp-silver,,,,,,,Бижута,Колиета,false,,,,,Сребро,Жени,,,,,,,Официален,,,,,,,,,,
