input_index,url,name_bg,brand_name,status,confidence,warnings
1,https://dp-silver.com/product/gk2,Гривна с кожа и сребърни елементи №2,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
2,https://dp-silver.com/product/g151,Нежна гривна Камъче №151,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
3,https://dp-silver.com/product/grivna-za-glezen-kamache,Гривна за глезен Камъче,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
4,https://dp-silver.com/product/grivna-za-glezen-infiniti,Гривна за глезен Инфинити,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
5,https://dp-silver.com/product/gch1-4,Гривна с конец и закопчалка Кръст,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
6,https://dp-silver.com/product/tvarda-tanka-grivna,Твърда тънка гривна №15,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
7,https://dp-silver.com/product/majka-grivna-s-izdaljeni-elementi,Мъжка гривна с издължени елементи №170,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
8,https://dp-silver.com/product/grivna-s-bukva-a,Гривна с буква А,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
9,https://dp-silver.com/product/grivna-s-bukva-b,Гривна с буква Б,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
10,https://dp-silver.com/product/l104,Колие с вълнообразни елементи и камъни №104,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
11,https://dp-silver.com/product/l49,Сребърно колие с инкрустирани циркони №49,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
12,https://dp-silver.com/product/l51k,Елегантно сребърно колие с камъни №51к,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
13,https://dp-silver.com/product/korda-s-kapkovidno-kamache,Корда с капковидно камъче,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
14,https://dp-silver.com/product/kolie-elegans,Колие Елеганс,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
15,https://dp-silver.com/product/ob101,Мини блестящи халки №101,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
16,https://dp-silver.com/product/f3g,Класически обици халки - голям размер №3г,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
17,https://dp-silver.com/product/visyashti-ob177,Висящи обици принцеса Даяна №177,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
18,https://dp-silver.com/product/ob91,Изкуство №91,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
19,https://dp-silver.com/product/ob70,Халки с троен блясък №70,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
20,https://dp-silver.com/product/ob73,Обици Слънчеви лъчи №73,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
21,https://dp-silver.com/product/p110,Блестящи извивки №110,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
22,https://dp-silver.com/product/p117,Тройни лъчи №117,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
23,https://dp-silver.com/product/p119,Докосване №119,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
24,https://dp-silver.com/product/p121,Бляскава халка №121,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
25,https://dp-silver.com/product/p129,Семпъл изчистен пръстен №129,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
26,https://dp-silver.com/product/p190,Змийче №190,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
27,https://dp-silver.com/product/p187,Квадрати и седеф №187,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
28,https://dp-silver.com/product/p208,Седефена спирала №208,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
29,https://dp-silver.com/product/p158,Блестящо слънце №158,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
30,https://dp-silver.com/product/p203,Нежен годежен пръстен №203,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
31,https://dp-silver.com/product/p217,"""Бъди моя спътница"" №217",DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
32,https://dp-silver.com/product/m21,Ангел-пазител №21,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
33,https://dp-silver.com/product/s120,Капковидна нежност и блясък,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
34,https://dp-silver.com/product/s891,Седефени стрелки,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
35,https://dp-silver.com/product/s208,Водни кончета,DP Silver,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
