input_index,input_url,domain,detected_brand,status,failure_reason
1,https://dp-silver.com/product/gk2,dp-silver.com,DP Silver,SUCCESS,
2,https://dp-silver.com/product/g151,dp-silver.com,DP Silver,SUCCESS,
3,https://dp-silver.com/product/grivna-za-glezen-kamache,dp-silver.com,DP Silver,SUCCESS,
4,https://dp-silver.com/product/grivna-za-glezen-infiniti,dp-silver.com,DP Silver,SUCCESS,
5,https://dp-silver.com/product/gch1-4,dp-silver.com,DP Silver,SUCCESS,
6,https://dp-silver.com/product/tvarda-tanka-grivna,dp-silver.com,DP Silver,SUCCESS,
7,https://dp-silver.com/product/majka-grivna-s-izdaljeni-elementi,dp-silver.com,DP Silver,SUCCESS,
8,https://dp-silver.com/product/grivna-s-bukva-a,dp-silver.com,DP Silver,SUCCESS,
9,https://dp-silver.com/product/grivna-s-bukva-b,dp-silver.com,DP Silver,SUCCESS,
10,https://dp-silver.com/product/l104,dp-silver.com,DP Silver,SUCCESS,
11,https://dp-silver.com/product/l49,dp-silver.com,DP Silver,SUCCESS,
12,https://dp-silver.com/product/l51k,dp-silver.com,DP Silver,SUCCESS,
13,https://dp-silver.com/product/korda-s-kapkovidno-kamache,dp-silver.com,DP Silver,SUCCESS,
14,https://dp-silver.com/product/kolie-elegans,dp-silver.com,DP Silver,SUCCESS,
15,https://dp-silver.com/product/ob101,dp-silver.com,DP Silver,SUCCESS,
16,https://dp-silver.com/product/f3g,dp-silver.com,DP Silver,SUCCESS,
17,https://dp-silver.com/product/visyashti-ob177,dp-silver.com,DP Silver,SUCCESS,
18,https://dp-silver.com/product/ob91,dp-silver.com,DP Silver,SUCCESS,
19,https://dp-silver.com/product/ob70,dp-silver.com,DP Silver,SUCCESS,
20,https://dp-silver.com/product/ob73,dp-silver.com,DP Silver,SUCCESS,
21,https://dp-silver.com/product/p110,dp-silver.com,DP Silver,SUCCESS,
22,https://dp-silver.com/product/p117,dp-silver.com,DP Silver,SUCCESS,
23,https://dp-silver.com/product/p119,dp-silver.com,DP Silver,SUCCESS,
24,https://dp-silver.com/product/p121,dp-silver.com,DP Silver,SUCCESS,
25,https://dp-silver.com/product/p129,dp-silver.com,DP Silver,SUCCESS,
26,https://dp-silver.com/product/p190,dp-silver.com,DP Silver,SUCCESS,
27,https://dp-silver.com/product/p187,dp-silver.com,DP Silver,SUCCESS,
28,https://dp-silver.com/product/p208,dp-silver.com,DP Silver,SUCCESS,
29,https://dp-silver.com/product/p158,dp-silver.com,DP Silver,SUCCESS,
30,https://dp-silver.com/product/p203,dp-silver.com,DP Silver,SUCCESS,
31,https://dp-silver.com/product/p217,dp-silver.com,DP Silver,SUCCESS,
32,https://dp-silver.com/product/m21,dp-silver.com,DP Silver,SUCCESS,
33,https://dp-silver.com/product/s120,dp-silver.com,DP Silver,SUCCESS,
34,https://dp-silver.com/product/s891,dp-silver.com,DP Silver,SUCCESS,
35,https://dp-silver.com/product/s208,dp-silver.com,DP Silver,SUCCESS,
36,https://dp-silver.com/product/s233,dp-silver.com,DP Silver,SUCCESS,
37,https://dp-silver.com/product/perli-i-nejnost,dp-silver.com,DP Silver,SUCCESS,
38,https://dp-silver.com/product/komplekt-perleno-cvete,dp-silver.com,DP Silver,SUCCESS,
39,https://dp-silver.com/product/personalizirano-kolie-s-ime-poli,dp-silver.com,DP Silver,SUCCESS,
40,https://dp-silver.com/product/personalizirano-kolie-s-ime-gergana,dp-silver.com,DP Silver,SUCCESS,
41,https://dp-silver.com/product/personalizirano-kolie-s-ime-cveta,dp-silver.com,DP Silver,SUCCESS,
42,https://dp-silver.com/product/grivna-s-konec-i-zlatna-bukva,dp-silver.com,DP Silver,SUCCESS,
43,https://dp-silver.com/product/grivna-s-konec-i-zlatna-bukva-2,dp-silver.com,DP Silver,SUCCESS,
44,https://astogold.bg/bg/magazin/kolie-byalo-zlato-14k-estestveni-diamanti-0-14ct-vs-g-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
45,https://astogold.bg/bg/magazin/kolie-rozovo-byalo-zlato-14k-diamanti-0-14ct-vs-g-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
46,https://astogold.bg/bg/magazin/moderen-zlaten-prasten-diamanti-0-21ct-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
47,https://astogold.bg/bg/magazin/zlatni-obetsi-zhalto-zlato-14k-tsirkoni-florin,astogold.bg,ASTO Gold,SUCCESS,
48,https://astogold.bg/bg/magazin/zlatna-visulki-sarce-zhalto-zlato-tsirkon-astogold-1,astogold.bg,ASTO Gold,SUCCESS,
49,https://astogold.bg/bg/magazin/prasten-zhalto-zlato-izumrudi-diamanti-14k-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
50,https://astogold.bg/bg/magazin/godezhen-prasten-byalo-zlato-diamanti-0-09-karata-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
51,https://astogold.bg/bg/magazin/zlatna-grivna-unikalna-pletka-byalo-zhalto-zlato-14k-asto,astogold.bg,ASTO Gold,SUCCESS,
52,https://astogold.bg/bg/magazin/damska-zlatna-grivna-valnoobrazen-dizayn-14k-asto,astogold.bg,ASTO Gold,SUCCESS,
53,https://astogold.bg/bg/magazin/godezhen-prasten-byalo-zlato-diamant-0-18ct-vs1-f-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
54,https://astogold.bg/bg/magazin/zlatni-obetsi-estestveni-diamanti-2x0-24ct-aura-asto-gold,astogold.bg,ASTO Gold,SUCCESS,
55,https://astogold.bg/bg/magazin/prasten-ruby-royal-estestven-rubin-diamanti,astogold.bg,ASTO Gold,SUCCESS,
56,https://astogold.bg/bg/magazin/prasten-aura-mint-zhalto-zlato-14k-0-13ct-diamanti,astogold.bg,ASTO Gold,SUCCESS,
57,https://astogold.bg/bg/magazin/prasten-aura-rose-rozovo-zlato-0-13ct-diamanti,astogold.bg,ASTO Gold,SUCCESS,
58,https://astogold.bg/bg/magazin/diamanten-prasten-royal-asscher-heritage-byalo-zlato,astogold.bg,ASTO Gold,SUCCESS,
59,https://astogold.bg/bg/magazin/diamantena-tenis-grivna-estestveni-diamanti-0-54ct,astogold.bg,ASTO Gold,SUCCESS,
60,https://astogold.bg/bg/magazin/diamanten-prasten-brilliance-byalo-zlato,astogold.bg,ASTO Gold,SUCCESS,
61,https://astogold.bg/bg/magazin/diamanten-prasten-noshtna-elegantnost-sedef,astogold.bg,ASTO Gold,SUCCESS,
62,https://astogold.bg/bg/magazin/diamanten-prasten-belisima-flora-sedef,astogold.bg,ASTO Gold,SUCCESS,
63,https://astogold.bg/bg/magazin/godezhen-prasten-luce-eterna-naturalni-diamanti,astogold.bg,ASTO Gold,SUCCESS,
64,https://bulgariansilver.com/ваучер-за-подарък-002-156,bulgariansilver.com,Bulgarian Silver,SUCCESS,
65,https://bulgariansilver.com/детско-колие-мак--3336-1-2015,bulgariansilver.com,Bulgarian Silver,SUCCESS,
66,https://bulgariansilver.com/детско-сребърно-колие-раче-осмокраче--2539-1-1944,bulgariansilver.com,Bulgarian Silver,SUCCESS,
67,https://bulgariansilver.com/сребърен-пръстен-хелиос--2553-488,bulgariansilver.com,Bulgarian Silver,SUCCESS,
68,https://bulgariansilver.com/сребърен-пръстен-клео-/-цитрин-1-2221,bulgariansilver.com,Bulgarian Silver,SUCCESS,
69,https://bulgariansilver.com/сребърен-комплект-сагенитов-ахат/-уникат-1-2187,bulgariansilver.com,Bulgarian Silver,SUCCESS,
70,https://bulgariansilver.com/сребърен-пръстен-с-нифрит/аметист/цитрин--1-2176,bulgariansilver.com,Bulgarian Silver,SUCCESS,
71,https://bulgariansilver.com/сребърен-комплект-кло--цитрин/-уникат-1-2031,bulgariansilver.com,Bulgarian Silver,SUCCESS,
72,https://bulgariansilver.com/сребърен-пръстен-непал-/-аметрин--аметист-цитрин-1-2224,bulgariansilver.com,Bulgarian Silver,SUCCESS,
73,https://bulgariansilver.com/сребърен-пръстен-кай-/-цитрин-1-2283,bulgariansilver.com,Bulgarian Silver,SUCCESS,
74,https://bulgariansilver.com/сребърен-медальон-св.-георги/-г-1-2086,bulgariansilver.com,Bulgarian Silver,SUCCESS,
75,https://bulgariansilver.com/гривна--1016-/-сребро-и-естествена-кожа-1-2278,bulgariansilver.com,Bulgarian Silver,SUCCESS,
